Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000203697,CAPN8,Gene Expression,0.21076528798861452,0.0,0.0,46,0.06768304602056903,23
ENSG00000204525,HLA-C,Gene Expression,0.21032287123168866,0.0,0.0,1857,5.205876270771442,210
ENSG00000196159,FAT4,Gene Expression,0.20705089385940292,0.0,0.0,119,0.3034715675925248,57
ENSG00000103089,FA2H,Gene Expression,0.20683398733974612,0.0,0.0,43,0.058813216161308114,22
ENSG00000141905,NFIC,Gene Expression,0.206780529909585,0.0,0.0,364,1.3164829410770864,135
ENSG00000175334,BANF1,Gene Expression,0.20443549624977986,0.0,0.0,419,1.4795342560961775,154
ENSG00000197894,ADH5,Gene Expression,0.2041759728457774,0.0,0.0,142,0.36130971277267226,79
ENSG00000172987,HPSE2,Gene Expression,0.20394172937502777,0.0,0.0,137,0.3733884829137018,63
ENSG00000117592,PRDX6,Gene Expression,0.20377285762708264,0.0,0.0,380,0.6916110273635262,104
ENSG00000276644,DACH1,Gene Expression,0.20246924007457545,0.0,0.0,202,0.5516345136154416,78
ENSG00000130726,TRIM28,Gene Expression,0.20228063943433333,0.0,0.0,518,1.5752460588460637,145
ENSG00000120708,TGFBI,Gene Expression,0.20213344284635337,0.0,0.0,91,0.21723253480973545,53
ENSG00000165410,CFL2,Gene Expression,0.2019026044929991,0.0,0.0,49,0.12253422263950134,32
ENSG00000163362,INAVA,Gene Expression,0.2018508274583304,0.0,0.0,112,0.2646428133785183,50
ENSG00000072952,MRVI1,Gene Expression,0.2016883291534848,0.0,0.0,141,0.42588593124997853,66
ENSG00000109099,PMP22,Gene Expression,0.201237059475625,0.0,0.0,188,0.6527654214134142,83
ENSG00000162614,NEXN,Gene Expression,0.20109706024735408,0.0,0.0,73,0.16617957349811274,38
ENSG00000105357,MYH14,Gene Expression,0.2009018568659528,0.0,0.0,384,0.9543985133805165,79
ENSG00000164116,GUCY1A1,Gene Expression,0.19973104952071452,0.0,0.0,142,0.3985609490846373,60
ENSG00000140092,FBLN5,Gene Expression,0.1995564300958449,0.0,0.0,38,0.09162084865370997,31
ENSG00000105699,LSR,Gene Expression,0.19835181059116014,0.0,0.0,223,0.43433972154939887,72
ENSG00000278637,HIST1H4A,Gene Expression,0.1981933565781616,0.0,0.0,237,0.6137540768915904,80
ENSG00000177666,PNPLA2,Gene Expression,0.19777398439711288,0.0,0.0,686,1.7180065187694675,143
ENSG00000150093,ITGB1,Gene Expression,0.1974912172897137,0.0,0.0,479,1.3128056631167202,146
